obs_names,subclus,leiden_recl
Foster_2024.SMM8_pos:9010,Invar,1
Foster_2024.SMM8_pos:9012,Invar,0
Foster_2024.SMM8_pos:9033,Invar,1
Foster_2024.SMM8_pos:9061,Invar,1
Foster_2024.SMM8_pos:9088,Invar,0
Foster_2024.SMM8_pos:9109,Invar,1
Foster_2024.SMM8_pos:9112,Invar,0
Foster_2024.SMM8_pos:9115,Invar,0
Foster_2024.SMM8_pos:9139,Invar,1
Foster_2024.SMM8_pos:9146,Invar,0
Foster_2024.SMM8_pos:9169,Invar,0
Foster_2024.SMM8_pos:9228,Invar,1
Foster_2024.SMM8_pos:9237,Invar,1
Foster_2024.SMM8_pos:9266,Invar,1
Foster_2024.SMM8_pos:9391,Invar,1
Foster_2024.SMM8_pos:9404,Invar,1
Foster_2024.SMM8_pos:9477,Invar,1
Foster_2024.SMM8_pos:9516,Invar,0
Foster_2024.SMM8_pos:9520,Invar,1
Foster_2024.SMM8_pos:9525,Invar,1
Foster_2024.SMM8_pos:9546,Invar,1
Foster_2024.SMM8_pos:9556,Invar,0
Foster_2024.SMM8_pos:9558,Invar,0
Foster_2024.SMM8_pos:9588,Invar,0
Foster_2024.SMM8_pos:9637,Invar,1
Foster_2024.SMM8_pos:9655,Invar,0
Foster_2024.SMM8_pos:9661,Invar,2
Foster_2024.SMM8_pos:9670,Invar,1
Foster_2024.SMM8_pos:9700,Invar,1
Foster_2024.SMM8_neg:10,Invar,1
Foster_2024.SMM8_neg:85,Invar,3
Foster_2024.SMM8_neg:105,Invar,1
Foster_2024.SMM8_neg:249,Invar,0
Foster_2024.SMM8_neg:266,Invar,2
Foster_2024.SMM8_neg:293,Invar,1
Foster_2024.SMM8_neg:339,Invar,0
Foster_2024.SMM8_neg:422,Invar,0
Foster_2024.SMM8_neg:441,Invar,0
Foster_2024.SMM8_neg:541,Invar,2
Foster_2024.SMM8_neg:562,Invar,0
Foster_2024.SMM8_neg:606,Invar,1
Foster_2024.SMM8_neg:609,Invar,3
Foster_2024.SMM8_neg:730,Invar,1
Foster_2024.SMM8_neg:792,Invar,1
Foster_2024.SMM8_neg:826,Invar,1
Foster_2024.SMM8_neg:866,Invar,1
Foster_2024.SMM8_neg:886,Invar,1
Foster_2024.SMM8_neg:912,Invar,1
Foster_2024.SMM8_neg:1009,Invar,1
Foster_2024.SMM8_neg:1096,Invar,1
Foster_2024.SMM8_neg:1097,Invar,2
Foster_2024.SMM8_neg:1148,Invar,2
Foster_2024.SMM8_neg:1261,Invar,1
Foster_2024.SMM8_neg:1356,Invar,1
Foster_2024.SMM8_neg:1427,Invar,1
Foster_2024.SMM8_neg:1436,Invar,1
Foster_2024.SMM8_neg:1528,Invar,1
Foster_2024.SMM8_neg:1608,Invar,1
Foster_2024.SMM8_neg:1753,Invar,1
Foster_2024.SMM8_neg:1796,Invar,1
Foster_2024.SMM8_neg:1833,Invar,1
Foster_2024.SMM8_neg:1993,Invar,1
Foster_2024.SMM8_neg:2016,Invar,1
Foster_2024.SMM8_neg:2032,Invar,1
Foster_2024.SMM8_neg:2101,Invar,1
Foster_2024.SMM8_neg:2110,Invar,2
Foster_2024.SMM8_neg:2155,Invar,1
Foster_2024.SMM8_neg:2166,Invar,1
Foster_2024.SMM8_neg:2196,Invar,1
Foster_2024.SMM8_neg:2204,Invar,1
Foster_2024.SMM8_neg:2430,Invar,0
Foster_2024.SMM8_neg:2495,Invar,2
Foster_2024.SMM8_neg:2515,Invar,0
Foster_2024.SMM8_neg:2570,Invar,1
Foster_2024.SMM8_neg:2574,Invar,0
Foster_2024.SMM8_neg:2604,Invar,0
Foster_2024.SMM8_neg:2731,Invar,1
Foster_2024.SMM8_neg:2835,Invar,0
Foster_2024.SMM8_neg:2896,Invar,1
Foster_2024.SMM8_neg:2928,Invar,2
Foster_2024.SMM8_neg:3052,Invar,2
Foster_2024.SMM8_neg:3142,Invar,1
Foster_2024.SMM8_neg:3188,Invar,1
Foster_2024.SMM8_neg:3257,Invar,0
Foster_2024.SMM8_neg:3270,Invar,1
Foster_2024.SMM8_neg:3360,Invar,0
Foster_2024.SMM8_neg:3544,Invar,1
Foster_2024.SMM8_neg:3583,Invar,3
Foster_2024.SMM8_neg:3654,Invar,0
Foster_2024.SMM8_neg:3667,Invar,2
Foster_2024.SMM8_neg:3711,Invar,1
Foster_2024.SMM8_neg:3717,Invar,2
Foster_2024.SMM8_neg:3720,Invar,0
Foster_2024.SMM8_neg:3819,Invar,1
Foster_2024.SMM8_neg:3842,Invar,1
Foster_2024.SMM8_neg:3957,Invar,3
Foster_2024.SMM8_neg:4001,Invar,1
Foster_2024.SMM8_neg:4003,Invar,1
Foster_2024.SMM8_neg:4037,Invar,1
Foster_2024.SMM8_neg:4043,Invar,1
Foster_2024.SMM8_neg:4183,Invar,1
Foster_2024.SMM8_neg:4196,Invar,1
Foster_2024.SMM8_neg:4253,Invar,1
Foster_2024.SMM8_neg:4284,Invar,1
Foster_2024.SMM8_neg:4289,Invar,1
Foster_2024.SMM8_neg:4341,Invar,0
Foster_2024.SMM8_neg:4400,Invar,1
Foster_2024.SMM8_neg:4422,Invar,1
Foster_2024.SMM8_neg:4424,Invar,1
Foster_2024.SMM8_neg:4451,Invar,1
Foster_2024.SMM8_neg:4491,Invar,1
Foster_2024.SMM8_neg:4532,Invar,0
