pathway,pathway_neat,gene
MP8 Proteasomal degradation,Proteasomal degradation,MDH1
MP8 Proteasomal degradation,Proteasomal degradation,PRDX1
MP8 Proteasomal degradation,Proteasomal degradation,PSMA4
MP8 Proteasomal degradation,Proteasomal degradation,PSMC2
MP8 Proteasomal degradation,Proteasomal degradation,EIF4A3
MP8 Proteasomal degradation,Proteasomal degradation,MRPL13
MP8 Proteasomal degradation,Proteasomal degradation,PGK1
MP8 Proteasomal degradation,Proteasomal degradation,PSMB3
MP8 Proteasomal degradation,Proteasomal degradation,PSME2
MP8 Proteasomal degradation,Proteasomal degradation,CCT8
MP8 Proteasomal degradation,Proteasomal degradation,ANXA1
MP8 Proteasomal degradation,Proteasomal degradation,DCAF13
MP8 Proteasomal degradation,Proteasomal degradation,PRMT1
MP8 Proteasomal degradation,Proteasomal degradation,SSBP1
MP8 Proteasomal degradation,Proteasomal degradation,PSMB1
MP8 Proteasomal degradation,Proteasomal degradation,LAPTM4A
MP8 Proteasomal degradation,Proteasomal degradation,PSMB6
MP8 Proteasomal degradation,Proteasomal degradation,CCT5
MP8 Proteasomal degradation,Proteasomal degradation,NDUFS2
MP8 Proteasomal degradation,Proteasomal degradation,PDHA1
MP8 Proteasomal degradation,Proteasomal degradation,CCT7
MP8 Proteasomal degradation,Proteasomal degradation,CDC123
MP8 Proteasomal degradation,Proteasomal degradation,CCNB1
MP8 Proteasomal degradation,Proteasomal degradation,PCMT1
MP8 Proteasomal degradation,Proteasomal degradation,POLR2G
MP8 Proteasomal degradation,Proteasomal degradation,HSPA5
MP8 Proteasomal degradation,Proteasomal degradation,XRCC6
MP8 Proteasomal degradation,Proteasomal degradation,NDUFA9
MP8 Proteasomal degradation,Proteasomal degradation,DPM1
MP8 Proteasomal degradation,Proteasomal degradation,SSB
MP8 Proteasomal degradation,Proteasomal degradation,EIF3I
MP8 Proteasomal degradation,Proteasomal degradation,MCTS1
MP8 Proteasomal degradation,Proteasomal degradation,SLC3A2
MP8 Proteasomal degradation,Proteasomal degradation,ECH1
MP8 Proteasomal degradation,Proteasomal degradation,PSMD13
MP8 Proteasomal degradation,Proteasomal degradation,TUBB4B
MP8 Proteasomal degradation,Proteasomal degradation,SNRPB2
MP8 Proteasomal degradation,Proteasomal degradation,DDX39A
MP8 Proteasomal degradation,Proteasomal degradation,NQO1
MP8 Proteasomal degradation,Proteasomal degradation,EIF4A1
MP8 Proteasomal degradation,Proteasomal degradation,SPCS2
MP8 Proteasomal degradation,Proteasomal degradation,IMPDH2
MP8 Proteasomal degradation,Proteasomal degradation,RTCB
MP8 Proteasomal degradation,Proteasomal degradation,GSTO1
MP8 Proteasomal degradation,Proteasomal degradation,PDIA3
MP8 Proteasomal degradation,Proteasomal degradation,PRDX2
MP8 Proteasomal degradation,Proteasomal degradation,NUP37
MP8 Proteasomal degradation,Proteasomal degradation,ILF2
MP9 Unfolded protein response,Unfolded protein response,PDIA3
MP9 Unfolded protein response,Unfolded protein response,MANF
MP9 Unfolded protein response,Unfolded protein response,PDIA4
MP9 Unfolded protein response,Unfolded protein response,CRELD2
MP9 Unfolded protein response,Unfolded protein response,HSPA5
MP9 Unfolded protein response,Unfolded protein response,SDF2L1
MP9 Unfolded protein response,Unfolded protein response,CALR
MP9 Unfolded protein response,Unfolded protein response,MYDGF
MP9 Unfolded protein response,Unfolded protein response,TMED9
MP9 Unfolded protein response,Unfolded protein response,ARF4
MP9 Unfolded protein response,Unfolded protein response,DNAJB9
MP9 Unfolded protein response,Unfolded protein response,SELENOK
MP9 Unfolded protein response,Unfolded protein response,SELENOS
MP9 Unfolded protein response,Unfolded protein response,CDK2AP2
MP9 Unfolded protein response,Unfolded protein response,DNAJC3
MP9 Unfolded protein response,Unfolded protein response,DNAJB11
MP9 Unfolded protein response,Unfolded protein response,ERLEC1
MP9 Unfolded protein response,Unfolded protein response,FKBP11
MP9 Unfolded protein response,Unfolded protein response,HYOU1
MP9 Unfolded protein response,Unfolded protein response,PDIA6
MP9 Unfolded protein response,Unfolded protein response,SEC61G
MP9 Unfolded protein response,Unfolded protein response,HERPUD1
MP9 Unfolded protein response,Unfolded protein response,HSP90B1
MP9 Unfolded protein response,Unfolded protein response,HSP90B2P
MP9 Unfolded protein response,Unfolded protein response,OSTC
MP9 Unfolded protein response,Unfolded protein response,CCPG1
MP9 Unfolded protein response,Unfolded protein response,ISG20
MP9 Unfolded protein response,Unfolded protein response,KDELR2
MP9 Unfolded protein response,Unfolded protein response,PLPP5
MP9 Unfolded protein response,Unfolded protein response,PPIB
MP9 Unfolded protein response,Unfolded protein response,RRBP1
MP9 Unfolded protein response,Unfolded protein response,SLC35B1
MP9 Unfolded protein response,Unfolded protein response,PRDX4
MP9 Unfolded protein response,Unfolded protein response,RPN2
MP9 Unfolded protein response,Unfolded protein response,SRPRB
MP9 Unfolded protein response,Unfolded protein response,AC068631.2
MP9 Unfolded protein response,Unfolded protein response,FKBP2
MP9 Unfolded protein response,Unfolded protein response,HM13
MP9 Unfolded protein response,Unfolded protein response,LMAN1
MP9 Unfolded protein response,Unfolded protein response,LMAN2
MP9 Unfolded protein response,Unfolded protein response,SEL1L
MP9 Unfolded protein response,Unfolded protein response,SRPRA
MP9 Unfolded protein response,Unfolded protein response,AC012181.2
MP9 Unfolded protein response,Unfolded protein response,CKAP4
MP9 Unfolded protein response,Unfolded protein response,MLEC
MP9 Unfolded protein response,Unfolded protein response,SEC63
MP9 Unfolded protein response,Unfolded protein response,SLC3A2
MP9 Unfolded protein response,Unfolded protein response,TXNDC15
MP9 Unfolded protein response,Unfolded protein response,ATF4
MP9 Unfolded protein response,Unfolded protein response,LAPTM4A
MP10 Protein maturation,Protein maturation,RPN2
MP10 Protein maturation,Protein maturation,PDIA3
MP10 Protein maturation,Protein maturation,ATP6AP2
MP10 Protein maturation,Protein maturation,HSPA5
MP10 Protein maturation,Protein maturation,PDIA6
MP10 Protein maturation,Protein maturation,LGALS3BP
MP10 Protein maturation,Protein maturation,GRN
MP10 Protein maturation,Protein maturation,LAPTM4A
MP10 Protein maturation,Protein maturation,HSP90B1
MP10 Protein maturation,Protein maturation,LAMP1
MP10 Protein maturation,Protein maturation,TMEM59
MP10 Protein maturation,Protein maturation,EPCAM
MP10 Protein maturation,Protein maturation,GDF15
MP10 Protein maturation,Protein maturation,HLA-C
MP10 Protein maturation,Protein maturation,OS9
MP10 Protein maturation,Protein maturation,PDIA4
MP10 Protein maturation,Protein maturation,APLP2
MP10 Protein maturation,Protein maturation,AZGP1
MP10 Protein maturation,Protein maturation,CLU
MP10 Protein maturation,Protein maturation,CTSA
MP10 Protein maturation,Protein maturation,DDOST
