pathway,pathway_neat,gene
MP10 Protein maturation,Protein maturation,CFI
MP10 Protein maturation,Protein maturation,EPHX1
MP10 Protein maturation,Protein maturation,EPRS
MP10 Protein maturation,Protein maturation,GGH
MP10 Protein maturation,Protein maturation,HEXB
MP10 Protein maturation,Protein maturation,MALAT1
MP10 Protein maturation,Protein maturation,PPIB
MP10 Protein maturation,Protein maturation,SPP1
MP10 Protein maturation,Protein maturation,SERPINA1
MP11 Translation initiation,Translation initiation,EPB41L4A-AS1
MP11 Translation initiation,Translation initiation,IMPDH2
MP11 Translation initiation,Translation initiation,AHCY
MP11 Translation initiation,Translation initiation,NOB1
MP11 Translation initiation,Translation initiation,OXA1L
MP11 Translation initiation,Translation initiation,EIF2A
MP11 Translation initiation,Translation initiation,IGBP1
MP11 Translation initiation,Translation initiation,LETMD1
MP11 Translation initiation,Translation initiation,RPL22L1
MP11 Translation initiation,Translation initiation,SNHG7
MP11 Translation initiation,Translation initiation,SNHG8
MP11 Translation initiation,Translation initiation,ZNF581
MP11 Translation initiation,Translation initiation,APEX1
MP11 Translation initiation,Translation initiation,C19ORF48
MP11 Translation initiation,Translation initiation,EIF3M
MP11 Translation initiation,Translation initiation,HIST3H2A
MP11 Translation initiation,Translation initiation,LTA4H
MP11 Translation initiation,Translation initiation,MYC
MP11 Translation initiation,Translation initiation,SNHG19
MP11 Translation initiation,Translation initiation,C11ORF1
MP11 Translation initiation,Translation initiation,C6ORF48
MP11 Translation initiation,Translation initiation,CCDC85B
MP11 Translation initiation,Translation initiation,CCNG1
MP11 Translation initiation,Translation initiation,EIF2S3
MP11 Translation initiation,Translation initiation,EIF3D
MP11 Translation initiation,Translation initiation,EIF3F
MP11 Translation initiation,Translation initiation,RGS10
MP11 Translation initiation,Translation initiation,TKT
MP11 Translation initiation,Translation initiation,ABHD14B
MP11 Translation initiation,Translation initiation,EIF4B
MP11 Translation initiation,Translation initiation,LYRM4
MP11 Translation initiation,Translation initiation,PPP1R14B
MP11 Translation initiation,Translation initiation,QARS
MP11 Translation initiation,Translation initiation,RSL1D1
MP11 Translation initiation,Translation initiation,SLC27A5
MP11 Translation initiation,Translation initiation,SRM
MP11 Translation initiation,Translation initiation,NME1
MP11 Translation initiation,Translation initiation,NBEAL1
MP11 Translation initiation,Translation initiation,EIF3E
MP11 Translation initiation,Translation initiation,CCNB1IP1
MP11 Translation initiation,Translation initiation,MRPL10
MP11 Translation initiation,Translation initiation,HSD17B11
MP11 Translation initiation,Translation initiation,TOP1MT
MP11 Translation initiation,Translation initiation,NOA1
MP11 Translation initiation,Translation initiation,FBL
MP11 Translation initiation,Translation initiation,MRPL45
MP11 Translation initiation,Translation initiation,ZNF277
MP11 Translation initiation,Translation initiation,PAICS
MP11 Translation initiation,Translation initiation,EXOSC5
MP11 Translation initiation,Translation initiation,ZFAS1
MP12 EMT-I,EMT-I,COL1A2
MP12 EMT-I,EMT-I,SPARC
MP12 EMT-I,EMT-I,COL1A1
MP12 EMT-I,EMT-I,COL3A1
MP12 EMT-I,EMT-I,IGFBP7
MP12 EMT-I,EMT-I,TAGLN
MP12 EMT-I,EMT-I,C1S
MP12 EMT-I,EMT-I,FN1
MP12 EMT-I,EMT-I,MGP
MP12 EMT-I,EMT-I,TIMP1
MP12 EMT-I,EMT-I,TIMP3
MP12 EMT-I,EMT-I,BGN
MP12 EMT-I,EMT-I,C1R
MP12 EMT-I,EMT-I,VIM
MP12 EMT-I,EMT-I,COL6A2
MP12 EMT-I,EMT-I,COL4A2
MP12 EMT-I,EMT-I,COL6A1
MP12 EMT-I,EMT-I,MMP2
MP12 EMT-I,EMT-I,DCN
MP12 EMT-I,EMT-I,COL4A1
MP12 EMT-I,EMT-I,FSTL1
MP12 EMT-I,EMT-I,NNMT
MP12 EMT-I,EMT-I,TPM1
MP12 EMT-I,EMT-I,TSC22D3
MP12 EMT-I,EMT-I,CCDC80
MP12 EMT-I,EMT-I,CTGF
MP12 EMT-I,EMT-I,CXCL12
MP12 EMT-I,EMT-I,ID3
MP12 EMT-I,EMT-I,LUM
MP12 EMT-I,EMT-I,MYL9
MP12 EMT-I,EMT-I,PRSS23
MP12 EMT-I,EMT-I,TGFBI
MP12 EMT-I,EMT-I,TPM2
MP12 EMT-I,EMT-I,CAV1
MP12 EMT-I,EMT-I,CYR61
MP12 EMT-I,EMT-I,IGFBP5
MP12 EMT-I,EMT-I,LGALS1
MP12 EMT-I,EMT-I,SPARCL1
MP12 EMT-I,EMT-I,A2M
MP12 EMT-I,EMT-I,ACTA2
MP12 EMT-I,EMT-I,CALD1
MP12 EMT-I,EMT-I,COL6A3
MP12 EMT-I,EMT-I,CTSK
MP12 EMT-I,EMT-I,FBLN1
MP12 EMT-I,EMT-I,IGFBP4
MP12 EMT-I,EMT-I,POSTN
MP12 EMT-I,EMT-I,RARRES2
MP12 EMT-I,EMT-I,SERPING1
MP12 EMT-I,EMT-I,SNAI2
MP12 EMT-I,EMT-I,TCF4
MP13 EMT-II,EMT-II,LAMC2
MP13 EMT-II,EMT-II,LAMB3
MP13 EMT-II,EMT-II,LAMA3
MP13 EMT-II,EMT-II,EMP3
MP13 EMT-II,EMT-II,TGFBI
MP13 EMT-II,EMT-II,TNFRSF12A
MP13 EMT-II,EMT-II,FLNA
MP13 EMT-II,EMT-II,PLAU
MP13 EMT-II,EMT-II,PMEPA1
MP13 EMT-II,EMT-II,CAV1
MP13 EMT-II,EMT-II,KRT17
MP13 EMT-II,EMT-II,PRSS23
MP13 EMT-II,EMT-II,LGALS1
MP13 EMT-II,EMT-II,VIM
MP13 EMT-II,EMT-II,S100A2
MP13 EMT-II,EMT-II,COL17A1
MP13 EMT-II,EMT-II,FSTL3
MP13 EMT-II,EMT-II,CST6
MP13 EMT-II,EMT-II,IL32
MP13 EMT-II,EMT-II,PDLIM7
MP13 EMT-II,EMT-II,SERPINE1
MP13 EMT-II,EMT-II,ANXA3
MP13 EMT-II,EMT-II,IGFBP7
MP13 EMT-II,EMT-II,DCBLD2
MP13 EMT-II,EMT-II,F3
MP13 EMT-II,EMT-II,MT2A
MP13 EMT-II,EMT-II,TNC
MP13 EMT-II,EMT-II,ITGB6
MP13 EMT-II,EMT-II,KRT7
MP13 EMT-II,EMT-II,PLAUR
MP13 EMT-II,EMT-II,PRKCDBP
MP13 EMT-II,EMT-II,SERPINE2
MP13 EMT-II,EMT-II,ITGB1
MP13 EMT-II,EMT-II,RBP1
MP13 EMT-II,EMT-II,ITGA3
MP13 EMT-II,EMT-II,CDKN1A
MP13 EMT-II,EMT-II,THBS1
MP13 EMT-II,EMT-II,FN1
MP13 EMT-II,EMT-II,MMP7
MP13 EMT-II,EMT-II,TGM2
MP13 EMT-II,EMT-II,C15ORF48
MP13 EMT-II,EMT-II,ITGA6
MP13 EMT-II,EMT-II,PTHLH
MP13 EMT-II,EMT-II,TPM1
MP13 EMT-II,EMT-II,CDA
MP13 EMT-II,EMT-II,IGFBP6
MP13 EMT-II,EMT-II,PDPN
MP13 EMT-II,EMT-II,RHOD
MP13 EMT-II,EMT-II,INHBA
MP13 EMT-II,EMT-II,ITGAV
MP14 EMT-III,EMT-III,ANXA2
MP14 EMT-III,EMT-III,KRT19
MP14 EMT-III,EMT-III,S100A6
MP14 EMT-III,EMT-III,TNFRSF12A
MP14 EMT-III,EMT-III,KRT7
MP14 EMT-III,EMT-III,LGALS1
MP14 EMT-III,EMT-III,ANXA1
MP14 EMT-III,EMT-III,TM4SF1
MP14 EMT-III,EMT-III,S100A10
MP14 EMT-III,EMT-III,LGALS3
MP14 EMT-III,EMT-III,S100A16
MP14 EMT-III,EMT-III,TAGLN2
MP14 EMT-III,EMT-III,LMNA
MP14 EMT-III,EMT-III,CRIP1
MP14 EMT-III,EMT-III,EZR
MP14 EMT-III,EMT-III,KRT18
MP14 EMT-III,EMT-III,S100A11
MP14 EMT-III,EMT-III,S100A4
MP14 EMT-III,EMT-III,EMP3
MP14 EMT-III,EMT-III,HSPB1
MP14 EMT-III,EMT-III,KRT8
MP14 EMT-III,EMT-III,TUBA1A
MP14 EMT-III,EMT-III,VIM
MP14 EMT-III,EMT-III,IL32
MP14 EMT-III,EMT-III,KLF6
MP14 EMT-III,EMT-III,ANXA3
MP14 EMT-III,EMT-III,SH3BGRL3
MP14 EMT-III,EMT-III,TMSB4X
MP14 EMT-III,EMT-III,C19ORF33
MP14 EMT-III,EMT-III,CKB
MP14 EMT-III,EMT-III,CLIC1
MP14 EMT-III,EMT-III,EMP1
MP14 EMT-III,EMT-III,IFI27
MP14 EMT-III,EMT-III,ISG15
MP14 EMT-III,EMT-III,MDK
MP14 EMT-III,EMT-III,MMP7
MP14 EMT-III,EMT-III,PHLDA2
MP14 EMT-III,EMT-III,PLP2
MP14 EMT-III,EMT-III,CLDN4
MP14 EMT-III,EMT-III,MYADM
MP14 EMT-III,EMT-III,RHOC
MP14 EMT-III,EMT-III,S100A14
MP14 EMT-III,EMT-III,CD24
MP14 EMT-III,EMT-III,CRIP2
MP14 EMT-III,EMT-III,MYL12A
MP14 EMT-III,EMT-III,RAB11FIP1
MP14 EMT-III,EMT-III,S100P
MP14 EMT-III,EMT-III,STMN1
MP14 EMT-III,EMT-III,FXYD3
MP14 EMT-III,EMT-III,FLNA
MP15 EMT IV,EMT IV,KRT15
MP15 EMT IV,EMT IV,CXCL14
MP15 EMT IV,EMT IV,ALDH3A1
MP15 EMT IV,EMT IV,DAPL1
MP15 EMT IV,EMT IV,DST
MP15 EMT IV,EMT IV,CCL2
MP15 EMT IV,EMT IV,TXNIP
MP15 EMT IV,EMT IV,C12ORF75
MP15 EMT IV,EMT IV,COL17A1
MP15 EMT IV,EMT IV,DCN
MP15 EMT IV,EMT IV,HOPX
MP15 EMT IV,EMT IV,MOXD1
MP15 EMT IV,EMT IV,SDCBP
MP15 EMT IV,EMT IV,SEPP1
MP15 EMT IV,EMT IV,THBS2
MP15 EMT IV,EMT IV,TIMP1
MP15 EMT IV,EMT IV,ASS1
MP15 EMT IV,EMT IV,GLUL
MP15 EMT IV,EMT IV,NFIB
MP15 EMT IV,EMT IV,NTRK2
MP15 EMT IV,EMT IV,SERPINH1
MP15 EMT IV,EMT IV,SOX4
MP15 EMT IV,EMT IV,ANTXR1
MP15 EMT IV,EMT IV,C1R
MP15 EMT IV,EMT IV,C1S
MP15 EMT IV,EMT IV,C6ORF48
MP15 EMT IV,EMT IV,CAV1
MP15 EMT IV,EMT IV,FTH1
MP15 EMT IV,EMT IV,IGFBP5
MP15 EMT IV,EMT IV,NCOA7
MP15 EMT IV,EMT IV,NINJ1
MP15 EMT IV,EMT IV,PNRC1
MP15 EMT IV,EMT IV,SERPINE2
MP15 EMT IV,EMT IV,SERPINF1
MP15 EMT IV,EMT IV,SLC47A2
MP15 EMT IV,EMT IV,SNAI2
MP15 EMT IV,EMT IV,SOCS3
MP15 EMT IV,EMT IV,SPARC
MP15 EMT IV,EMT IV,TSC22D1
MP15 EMT IV,EMT IV,ASPN
MP15 EMT IV,EMT IV,LTF
MP15 EMT IV,EMT IV,SFRP1
MP15 EMT IV,EMT IV,TP53AIP1
MP15 EMT IV,EMT IV,CD74
MP15 EMT IV,EMT IV,EGR1
MP15 EMT IV,EMT IV,BCAM
MP15 EMT IV,EMT IV,SESN3
MP15 EMT IV,EMT IV,IFITM1
MP15 EMT IV,EMT IV,HTRA1
MP15 EMT IV,EMT IV,IFIT3
MP16 MES (glioma),MES (glioma),EMP1
MP16 MES (glioma),MES (glioma),GAP43
MP16 MES (glioma),MES (glioma),TNFRSF12A
MP16 MES (glioma),MES (glioma),CD44
MP16 MES (glioma),MES (glioma),TNC
MP16 MES (glioma),MES (glioma),LYST
MP16 MES (glioma),MES (glioma),PLAT
MP16 MES (glioma),MES (glioma),WWTR1
MP16 MES (glioma),MES (glioma),ANXA2
MP16 MES (glioma),MES (glioma),GADD45A
MP16 MES (glioma),MES (glioma),LMNA
MP16 MES (glioma),MES (glioma),VMP1
MP16 MES (glioma),MES (glioma),IGFBP3
MP16 MES (glioma),MES (glioma),SCG2
MP16 MES (glioma),MES (glioma),HIVEP3
MP16 MES (glioma),MES (glioma),METTL7B
MP16 MES (glioma),MES (glioma),RCAN1
MP16 MES (glioma),MES (glioma),ZYX
MP16 MES (glioma),MES (glioma),CAMK2D
MP16 MES (glioma),MES (glioma),IL1RAP
MP16 MES (glioma),MES (glioma),JAG1
MP16 MES (glioma),MES (glioma),NAMPT
MP16 MES (glioma),MES (glioma),PGM2L1
MP16 MES (glioma),MES (glioma),VIM
MP16 MES (glioma),MES (glioma),ACTN1
MP16 MES (glioma),MES (glioma),AKAP12
MP16 MES (glioma),MES (glioma),IGF2BP2
MP16 MES (glioma),MES (glioma),MIR4435-2HG
MP16 MES (glioma),MES (glioma),NRP2
MP16 MES (glioma),MES (glioma),PDLIM4
MP16 MES (glioma),MES (glioma),ANXA1
MP16 MES (glioma),MES (glioma),BCAT1
MP16 MES (glioma),MES (glioma),CLIC4
MP16 MES (glioma),MES (glioma),CREB5
MP16 MES (glioma),MES (glioma),DIRAS3
MP16 MES (glioma),MES (glioma),EGR1
MP16 MES (glioma),MES (glioma),ELL2
MP16 MES (glioma),MES (glioma),F3
MP16 MES (glioma),MES (glioma),FRMD5
MP16 MES (glioma),MES (glioma),IGFBP7
MP16 MES (glioma),MES (glioma),LINC00152
MP16 MES (glioma),MES (glioma),S100A16
MP16 MES (glioma),MES (glioma),VCL
MP16 MES (glioma),MES (glioma),SAMD4A
MP16 MES (glioma),MES (glioma),ADAMTS9-AS2
MP16 MES (glioma),MES (glioma),SLC4A7
MP16 MES (glioma),MES (glioma),GFAP
MP16 MES (glioma),MES (glioma),CADPS
MP16 MES (glioma),MES (glioma),GNG12
MP16 MES (glioma),MES (glioma),KLHL4
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),ISG15
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),CD74
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),IFI6
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),HLA-DRA
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),HLA-DRB1
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),IFIT3
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),PSMB9
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),IFI44L
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),RARRES3
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),STAT1
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),HLA-DPA1
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),MX1
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),UBE2L6
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),IFITM3
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),BST2
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),OAS1
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),GBP1
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),IFI27
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),IFIT1
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),TAP1
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),HLA-B
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),IFITM1
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),HLA-DMA
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),ISG20
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),TNFSF10
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),IFI35
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),IFI44
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),HLA-DPB1
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),HLA-E
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),HLA-C
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),PARP14
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),WARS
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),HLA-DQB1
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),LAP3
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),PSMB8
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),C1S
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),HLA-DRB5
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),PLSCR1
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),TYMP
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),C1R
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),SAA1
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),HLA-F
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),IFIT2
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),SOD2
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),GBP2
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),HLA-A
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),CXCL10
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),HLA-DQA1
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),PARP9
MP17 Interferon/MHC-II (I),Interferon/MHC-II (I),B2M
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),CD74
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),HLA-DRA
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),HLA-DRB1
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),ALDH1A1
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),HLA-DPA1
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),IFITM2
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),CD9
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),CLU
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),CRYAB
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),NNMT
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),S100A10
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),TMEM176B
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),C1R
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),C1S
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),DHRS3
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),GPM6B
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),HLA-DRB5
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),IFI6
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),IFITM3
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),PLP1
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),RARRES2
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),S100B
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),SERPING1
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),TMEM176A
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),ANXA1
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),C3
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),CTNNAL1
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),GFRA3
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),MT2A
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),PDK4
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),PLAT
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),PMP22
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),SEPP1
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),C10ORF10
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),EGFL8
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),GPX3
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),HLA-DMA
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),MT1X
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),SEMA3B
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),UCHL1
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),MMP7
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),LGALS1
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),CTSD
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),ARPC1B
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),ISG15
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),WFDC2
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),LGALS3BP
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),CALM2
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),TUBA1A
MP18 Interferon/MHC-II (II),Interferon/MHC-II (II),A2M
MP19 Epithelial Senescence,Epithelial Senescence,SLPI
MP19 Epithelial Senescence,Epithelial Senescence,S100A9
MP19 Epithelial Senescence,Epithelial Senescence,LCN2
MP19 Epithelial Senescence,Epithelial Senescence,S100A8
MP19 Epithelial Senescence,Epithelial Senescence,KRT16
MP19 Epithelial Senescence,Epithelial Senescence,C15ORF48
MP19 Epithelial Senescence,Epithelial Senescence,SPRR1B
MP19 Epithelial Senescence,Epithelial Senescence,LY6D
MP19 Epithelial Senescence,Epithelial Senescence,S100P
MP19 Epithelial Senescence,Epithelial Senescence,KRT6B
MP19 Epithelial Senescence,Epithelial Senescence,PI3
MP19 Epithelial Senescence,Epithelial Senescence,WFDC2
MP19 Epithelial Senescence,Epithelial Senescence,CEACAM6
MP19 Epithelial Senescence,Epithelial Senescence,PDZK1IP1
MP19 Epithelial Senescence,Epithelial Senescence,S100A7
MP19 Epithelial Senescence,Epithelial Senescence,TSPAN1
MP19 Epithelial Senescence,Epithelial Senescence,KRT13
MP19 Epithelial Senescence,Epithelial Senescence,TACSTD2
MP19 Epithelial Senescence,Epithelial Senescence,PSCA
MP19 Epithelial Senescence,Epithelial Senescence,IL1RN
MP19 Epithelial Senescence,Epithelial Senescence,LYPD3
MP19 Epithelial Senescence,Epithelial Senescence,SAA1
MP19 Epithelial Senescence,Epithelial Senescence,SERPINB3
MP19 Epithelial Senescence,Epithelial Senescence,AQP3
MP19 Epithelial Senescence,Epithelial Senescence,CLDN4
MP19 Epithelial Senescence,Epithelial Senescence,CXCL17
MP19 Epithelial Senescence,Epithelial Senescence,KRT17
MP19 Epithelial Senescence,Epithelial Senescence,CRABP2
MP19 Epithelial Senescence,Epithelial Senescence,ELF3
MP19 Epithelial Senescence,Epithelial Senescence,KRT6A
MP19 Epithelial Senescence,Epithelial Senescence,MAL2
MP19 Epithelial Senescence,Epithelial Senescence,SPRR3
MP19 Epithelial Senescence,Epithelial Senescence,IGFBP3
MP19 Epithelial Senescence,Epithelial Senescence,PRSS22
MP19 Epithelial Senescence,Epithelial Senescence,SPRR2D
MP19 Epithelial Senescence,Epithelial Senescence,DSC2
MP19 Epithelial Senescence,Epithelial Senescence,GPRC5A
MP19 Epithelial Senescence,Epithelial Senescence,KRT7
MP19 Epithelial Senescence,Epithelial Senescence,SPRR2A
MP19 Epithelial Senescence,Epithelial Senescence,ANXA1
MP19 Epithelial Senescence,Epithelial Senescence,MALL
MP19 Epithelial Senescence,Epithelial Senescence,CEACAM5
MP19 Epithelial Senescence,Epithelial Senescence,MUC4
MP19 Epithelial Senescence,Epithelial Senescence,SERPINB1
MP19 Epithelial Senescence,Epithelial Senescence,AGR2
MP19 Epithelial Senescence,Epithelial Senescence,CLIC3
MP19 Epithelial Senescence,Epithelial Senescence,SERPINB4
MP19 Epithelial Senescence,Epithelial Senescence,FABP5
MP19 Epithelial Senescence,Epithelial Senescence,SULT2B1
MP19 Epithelial Senescence,Epithelial Senescence,CLDN7
MP20 MYC,MYC,NME1
MP20 MYC,MYC,C1QBP
MP20 MYC,MYC,FABP5
MP20 MYC,MYC,SRM
MP20 MYC,MYC,EBNA1BP2
MP20 MYC,MYC,HSPE1
MP20 MYC,MYC,DCTPP1
MP20 MYC,MYC,NOP16
MP20 MYC,MYC,NHP2
MP20 MYC,MYC,MRPL12
MP20 MYC,MYC,DKC1
MP20 MYC,MYC,HSPD1
MP20 MYC,MYC,RANBP1
MP20 MYC,MYC,CCT5
MP20 MYC,MYC,DDX21
MP20 MYC,MYC,ATP5G1
MP20 MYC,MYC,PA2G4
MP20 MYC,MYC,GPATCH4
MP20 MYC,MYC,TOMM40
MP20 MYC,MYC,GNL3
MP20 MYC,MYC,PAICS
MP20 MYC,MYC,RAN
MP20 MYC,MYC,PPA1
MP20 MYC,MYC,RUVBL1
MP20 MYC,MYC,CCT2
MP20 MYC,MYC,EIF4EBP1
MP20 MYC,MYC,MYC
MP20 MYC,MYC,LDHB
MP20 MYC,MYC,TIMM13
MP20 MYC,MYC,ODC1
MP20 MYC,MYC,CYCS
MP20 MYC,MYC,EIF5A
MP20 MYC,MYC,NIFK
MP20 MYC,MYC,NOLC1
MP20 MYC,MYC,SNRPD1
MP20 MYC,MYC,MRPL3
MP20 MYC,MYC,MRTO4
MP20 MYC,MYC,SLIRP
MP20 MYC,MYC,LDHA
MP20 MYC,MYC,NOP56
MP20 MYC,MYC,PHB
MP20 MYC,MYC,PNO1
MP20 MYC,MYC,DCAF13
MP20 MYC,MYC,ENO1
MP20 MYC,MYC,NCL
MP20 MYC,MYC,NOP58
MP20 MYC,MYC,PRMT1
MP20 MYC,MYC,BZW2
MP20 MYC,MYC,CMSS1
MP20 MYC,MYC,FKBP4
MP21 Respiration,Respiration,SLIRP
MP21 Respiration,Respiration,ROMO1
MP21 Respiration,Respiration,ATP5I
MP21 Respiration,Respiration,COX7B
MP21 Respiration,Respiration,PET100
MP21 Respiration,Respiration,ATP5G1
MP21 Respiration,Respiration,OST4
MP21 Respiration,Respiration,TMEM258
MP21 Respiration,Respiration,NDUFA3
MP21 Respiration,Respiration,NDUFB2
MP21 Respiration,Respiration,RPL21
MP21 Respiration,Respiration,USMG5
MP21 Respiration,Respiration,H3F3A
MP21 Respiration,Respiration,NDUFA1
MP21 Respiration,Respiration,SNRPD2
MP21 Respiration,Respiration,ATP5E
MP21 Respiration,Respiration,COX6B1
MP21 Respiration,Respiration,NDUFS5
MP21 Respiration,Respiration,NME1
MP21 Respiration,Respiration,ATP5J2
MP21 Respiration,Respiration,NDUFB1
MP21 Respiration,Respiration,NOP10
MP21 Respiration,Respiration,ATOX1
MP21 Respiration,Respiration,PSMB3
MP21 Respiration,Respiration,UQCR10
MP21 Respiration,Respiration,NDUFS6
MP21 Respiration,Respiration,NEDD8
MP21 Respiration,Respiration,TIMM8B
MP21 Respiration,Respiration,MYEOV2
MP21 Respiration,Respiration,NDUFA12
MP21 Respiration,Respiration,NDUFC1
MP21 Respiration,Respiration,SHFM1
MP21 Respiration,Respiration,COX17
MP21 Respiration,Respiration,MIR4461
MP21 Respiration,Respiration,NDUFAB1
MP21 Respiration,Respiration,NDUFB4
MP21 Respiration,Respiration,SEC61G
MP21 Respiration,Respiration,UBL5
MP21 Respiration,Respiration,APRT
MP21 Respiration,Respiration,RPS29
MP21 Respiration,Respiration,SNRPG
MP21 Respiration,Respiration,LGALS1
MP21 Respiration,Respiration,NHP2
MP21 Respiration,Respiration,SNRPF
MP21 Respiration,Respiration,PFDN2
MP21 Respiration,Respiration,LSM7
MP21 Respiration,Respiration,NDUFB8
MP21 Respiration,Respiration,NDUFA7
MP21 Respiration,Respiration,RPS21
MP21 Respiration,Respiration,COA3
MP22 Secreted I,Secreted I,CXCL8
MP22 Secreted I,Secreted I,PHLDA1
MP22 Secreted I,Secreted I,MAFF
MP22 Secreted I,Secreted I,KDM6B
